Table,Condition,Frequency
an,1=1,18
an,an.name like '%a%',2
an,an.name IS NOT NULL AND (an.name LIKE '%a%' OR an.name LIKE 'A%'),1
,,
it,1=1,3
it_pi,it.info ='mini biography',3
it_miidx,it.info = 'top 250 rank',1
it_miidx,it.info = 'bottom 10 rank',3
it_miidx,it.info ='rating',28
it_mi,it.info = 'genres',13
it_mi,it.info ='budget',2
it_mi,it.info ='release dates',20
it_mi,it.info = 'countries',10
it_miidx,it.info = 'votes',10
it_pi,it.info = 'trivia',2
it_pi,it.info = 'height',1
,,
lt,1=1,4
lt,lt.link = 'features',2
lt,"lt.link = 'references' OR lt.link = 'referenced in' OR lt.link = 'features' OR lt.link = 'featured in'",1
lt,lt.link LIKE '%follow%',8
lt,lt.link LIKE '%follows%',1
lt,"lt.link = 'sequel' OR lt.link = 'follows' OR lt.link = 'followed by'",1
,,
n,1=1,12
n,n.name_pcode_cf >= 'A' AND n.name_pcode_cf <='F' AND (n.gender='m' OR (n.gender = 'f' AND n.name LIKE 'B%')),1
n,n.name LIKE 'B%',1
n,n.name LIKE '%Downey%Robert%',6
n,n.gender ='f' AND n.name LIKE '%Ang%',2
n,n.gender ='f' AND n.name LIKE '%Angel%',2
n,n.gender ='f' AND n.name LIKE '%An%',7
n,n.name_pcode_cf LIKE 'D%' AND n.gender='m',1
n,n.name_pcode_cf >= 'A' AND n.name_pcode_cf <='F' AND (n.gender='m' OR (n.gender = 'f' AND n.name LIKE 'A%')),1
n,n.name LIKE '%Yo%' AND n.name NOT LIKE '%Yu%',1
n,n.name LIKE '%Yo%' AND n.name NOT LIKE '%Yu%',1
n,n.gender ='f',2
n,n.name LIKE 'Z%',1
n,n.name LIKE 'X%',1
n,n.name LIKE '%Bert%',1
n,n.name LIKE '%B%',1
n,n.gender = 'm' AND n.name LIKE '%Tim%',2
n,n.gender IS NOT NULL AND n.gender = 'f',1
n,n.gender = 'm',8
,,
pi,1=1,3
pi,pi.note ='Volker Boehm',2
pi,pi.note IS NOT NULL,1
,,
k,1=1,6
k,k.keyword ='character-name-in-title',14
k,"k.keyword ='10,000-mile-club'",1
k,k.keyword LIKE '%sequel%',7
k,k.keyword = 'marvel-cinematic-universe',3
k,"k.keyword = 'superhero' OR k.keyword = 'sequel' OR k.keyword = 'second-part' OR k.keyword = 'marvel-comics' OR k.keyword = 'based-on-comic' OR k.keyword = 'tv-special' OR k.keyword = 'fight' OR k.keyword = 'violence'",3
k,k.keyword ='sequel',8
k,k.keyword = 'computer-animation',3
k,"k.keyword = 'sequel' OR k.keyword = 'revenge' OR k.keyword = 'based-on-novel'",2
k,"k.keyword = 'murder' OR k.keyword = 'murder-in-title' OR k.keyword = 'blood' OR k.keyword = 'violence'",1
k,"k.keyword = 'murder' OR k.keyword = 'murder-in-title'",1
k,"k.keyword IS NOT NULL AND (k.keyword = 'murder' OR k.keyword = 'murder-in-title' OR k.keyword = 'blood' OR k.keyword = 'violence')",1
k,"k.keyword = 'superhero' OR k.keyword = 'sequel' OR k.keyword = 'second-part' OR k.keyword = 'marvel-comics' OR k.keyword = 'based-on-comic' OR k.keyword = 'tv-special' OR k.keyword = 'fight' OR k.keyword = 'violence'",2
k,"k.keyword = 'superhero' OR k.keyword = 'marvel-comics' OR k.keyword = 'based-on-comic' OR k.keyword = 'tv-special' OR k.keyword = 'fight' OR k.keyword = 'violence' OR k.keyword = 'magnet' OR k.keyword = 'web' OR k.keyword = 'claw' OR k.keyword = 'laser'",1
k,"k.keyword = 'murder' OR k.keyword = 'murder-in-title' OR k.keyword = 'blood' OR k.keyword = 'violence'",7
k,"k.keyword = 'nerd' OR k.keyword = 'loner' OR k.keyword = 'alienation' OR k.keyword = 'dignity'",1
k,"k.keyword = 'hero' OR k.keyword = 'martial-arts' OR k.keyword = 'hand-to-hand-combat'",1
k,"k.keyword = 'hero' OR k.keyword = 'martial-arts' OR k.keyword = 'hand-to-hand-combat' OR k.keyword = 'computer-animated-movie'",1
k,"k.keyword = 'murder' OR k.keyword = 'blood' OR k.keyword = 'gore' OR k.keyword = 'death' OR k.keyword = 'female-nudity'",2
k,"k.keyword = 'superhero' OR k.keyword = 'marvel-comics' OR k.keyword = 'based-on-comic' OR k.keyword = 'tv-special' OR k.keyword = 'fight' OR k.keyword = 'violence' OR k.keyword = 'magnet' OR k.keyword = 'web' OR k.keyword = 'claw' OR k.keyword = 'laser'",2
